Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1.18 Cr,1105 sqft,Sector 83,Semi-Furnished,1,3,SS Cendana
"2 BHK Flat for Sale in Sector 79, Gurgaon",1.70 Cr,1330 sqft,Gurgaon,Semi-Furnished,1,2,N/A
"4 BHK Flat for Sale in DLF Royale Residences, Phase 1 DLF, Gurgaon",4.30 Cr,1822 sqft,Phase 1 DLF,Semi-Furnished,2,4,DLF Royale Residences
"3 BHK Flat for Sale in Signature Global City 63A, Sector 63A, Gurgaon",1.90 Cr,1150 sqft,Sector 63A,Furnished,1,3,Signature Global City 63A
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1.37 Cr,1450 sqft,Sector 83,Unfurnished,1,3,SS Cendana
"3 BHK Flat for Sale in Signature Signum 93, Sector 93, Gurgaon",1.20 Cr,1500 sqft,Sector 93,Semi-Furnished,1,3,Signature Signum 93
"3 BHK Flat for Sale in Godrej Meridien, Sector 106, Gurgaon",2.55 Cr,1550 sqft,Sector 106,Unfurnished,1,3,Godrej Meridien
"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",3 Cr,2300 sqft,Uppal Southend,Semi-Furnished,2,4,Uppal Southend
"3 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",3.01 Cr,1800 sqft,Sector 113,Unfurnished,1,4,Tata La Vida
"4 BHK Flat for Sale in DLF The Arbour, Sector 63, Gurgaon",7.75 Cr,3900 sqft,Sector 63,Semi-Furnished,3,5,DLF The Arbour
"3 BHK Flat for Sale in DLF The Primus, Sector 82A, Gurgaon",1.58 Cr,1818 sqft,Sector 82A,Semi-Furnished,1,3,DLF The Primus
"4 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",2.22 Cr,2050 sqft,Sector 57,Semi-Furnished,3,4,N/A
"3 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",3.80 Cr,1500 sqft,Sector 59,Semi-Furnished,2,5,Elevate
"5 BHK Flat for Sale in Phase 1 DLF, Gurgaon",4.50 Cr,3200 sqft,Gurgaon,Semi-Furnished,3,5,N/A
9 BHK House for Sale in Sector 51 Gurgaon,1.90 Cr,2600 sqft,N/A,Semi-Furnished,2,9,N/A
"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",1.95 Cr,200 sqyrd,Sector 57,Semi-Furnished,2,3,N/A
6 BHK House for Sale in Phase 2 DLF Gurgaon,14 Cr,6000 sqft,N/A,Semi-Furnished,1,6,N/A
"3 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",2.25 Cr,1200 sqft,Sector 61,Semi-Furnished,1,3,Smart World Orchard
"3 BHK Flat for Sale in Sobha City, Sector 108, Gurgaon",3.69 Cr,1964 sqft,Sector 108,Semi-Furnished,1,3,Sobha City
